year_month,permits_issued,total_fees,avg_fee
2018-01,3180,2775303.92,872.74
2018-02,3060,3675820.14,1201.25
2018-03,4217,4247790.89,1007.3
2018-04,3884,4258630.77,1096.45
2018-05,4163,4602209.76,1105.5
2018-06,4239,4393590.72,1036.47
2018-07,4050,3755441.88,927.27
2018-08,4453,4704964.65,1056.58
2018-09,3968,5392215.03,1358.93
2018-10,4419,4805429.72,1087.45
2018-11,3527,2935698.58,832.35
2018-12,2991,3096220.66,1035.18
2019-01,3019,2661807.04,881.69
2019-02,3016,2987841.46,990.66
2019-03,3943,3505483.86,889.04
2019-04,4664,4868754.23,1043.9
2019-05,4615,4644988.45,1006.5
2019-06,4081,3474369.12,851.35
2019-07,4397,4570125.71,1039.37
2019-08,4711,4229306.92,897.75
2019-09,4212,3446567.44,818.27
2019-10,4508,4454787.8,988.2
2019-11,3309,5104506.13,1542.61
2019-12,3148,3701292.3,1175.76
2020-01,3357,3219217.48,958.96
2020-02,3331,3329009.51,999.4
2020-03,3518,3621728.55,1029.49
2020-04,2994,4458982.64,1489.31
2020-05,2821,2788089.74,988.33
2020-06,3347,2550101.19,761.91
2020-07,3433,2417270.77,704.13
2020-08,3196,3393841.42,1061.9
2020-09,3314,3049223.99,920.1
2020-10,3346,2686393.71,802.87
2020-11,2734,2196290.32,803.32
2020-12,2390,2219010.9,928.46
2021-01,2459,2184395.88,888.33
2021-02,2290,3189358.5,1392.73
2021-03,3603,3131382.49,869.1
2021-04,3435,3229261.4,940.11
2021-05,3213,2816306.19,876.53
2021-06,3624,2678963.36,739.23
2021-07,3369,3363183.0,998.27
2021-08,3521,3481496.6,988.78
2021-09,3573,3647009.84,1020.71
2021-10,3584,2853790.88,796.26
2021-11,3012,2836688.58,941.8
2021-12,2659,3376750.58,1269.93
2022-01,2738,2813239.29,1027.48
2022-02,2578,3181042.84,1233.92
2022-03,3490,3502415.92,1003.56
2022-04,3376,3168546.27,938.55
2022-05,3386,3386707.25,1000.21
2022-06,3545,3676046.16,1036.97
2022-07,3207,3540971.57,1104.14
2022-08,3718,4043493.65,1087.55
2022-09,3297,3256601.29,987.75
2022-10,3121,3409221.67,1092.35
2022-11,2808,3680621.7,1310.76
2022-12,2266,4448532.57,1963.17
2023-01,2378,3708244.23,1559.4
2023-02,2432,2388102.9,981.95
2023-03,3231,3474664.79,1075.41
2023-04,2891,2974973.26,1029.05
2023-05,3762,3091206.83,821.69
2023-06,2983,3568226.24,1196.19
2023-07,2701,2291831.78,848.51
2023-08,3268,3316169.61,1014.74
2023-09,2745,3632745.34,1323.4
2023-10,2929,3317321.23,1132.58
2023-11,2227,2367649.34,1063.16
2023-12,1976,2003631.55,1013.98
