permit_type,total_permits,avg_fee,total_fees
PERMIT – EXPRESS PERMIT PROGRAM,302065,140.33,42388375.31
PERMIT - EASY PERMIT PROCESS,207142,332.34,68842390.8
PERMIT - RENOVATION/ALTERATION,164934,2444.01,403101136.46
PERMIT - SIGNS,53965,294.98,15918512.45
PERMIT - NEW CONSTRUCTION,31076,7611.36,236530468.83
PERMIT - ELEVATOR EQUIPMENT,21795,745.34,16244716.31
PERMIT - WRECKING/DEMOLITION,21637,522.32,11301400.3
PERMIT - SCAFFOLDING,8941,194.7,1740790.02
PERMIT - REINSTATE REVOKED PMT,5114,1334.73,6825802.67
PERMIT - PORCH CONSTRUCTION,3093,228.82,707729.08
PERMIT - FOR EXTENSION OF PMT,58,1582.93,91809.92
