ward,issue_year,total_permits,avg_fee,total_fees,avg_reported_cost
0.0,2018,1,75.0,75.0,15000.0
1.0,2018,1264,1333.86,1686003.24,131607.33
2.0,2018,1773,1236.44,2192213.1,219440.27
3.0,2018,984,1185.93,1166951.0,258923.43
4.0,2018,1006,1362.52,1370695.26,215844.03
5.0,2018,779,1086.57,846438.76,111983.78
6.0,2018,863,657.76,567651.06,120484.63
7.0,2018,685,651.35,446174.75,49446.75
8.0,2018,913,622.84,568655.28,110143.9
9.0,2018,609,608.25,370424.42,70276.47
10.0,2018,614,425.2,261073.55,50845.95
11.0,2018,833,1002.09,834741.01,130619.05
12.0,2018,576,1365.94,786780.56,79673.66
13.0,2018,469,387.68,181821.42,36881.23
14.0,2018,456,933.84,425830.52,119423.06
15.0,2018,476,408.96,194665.55,22268.19
16.0,2018,775,455.87,353296.13,45411.78
17.0,2018,648,353.05,228779.26,17232.57
18.0,2018,583,483.05,281616.79,78034.86
19.0,2018,689,608.73,419417.11,94977.2
20.0,2018,828,1238.75,1025682.99,309541.63
21.0,2018,829,486.52,403326.36,80205.76
22.0,2018,412,558.24,229994.78,106233.34
23.0,2018,597,1041.23,621613.93,185576.7
24.0,2018,698,708.93,494831.23,70137.56
25.0,2018,1056,2206.99,2330579.3,578523.26
26.0,2018,789,708.96,559366.03,58200.57
27.0,2018,1941,1972.01,3827676.15,539577.41
28.0,2018,1090,823.39,897499.32,116612.01
29.0,2018,750,475.3,356473.72,41469.18
30.0,2018,568,579.09,328921.13,38165.91
31.0,2018,495,846.46,418998.13,107000.07
32.0,2018,1156,986.57,1140474.81,98344.06
33.0,2018,669,1055.01,705800.7,185581.17
34.0,2018,1579,271.96,429426.38,26335.81
35.0,2018,714,646.32,461470.66,64289.45
36.0,2018,508,615.82,312837.96,70492.77
37.0,2018,703,521.83,366844.65,20827.42
38.0,2018,560,706.8,395806.71,134951.0
39.0,2018,739,803.88,594066.58,144966.73
40.0,2018,808,769.74,621945.91,84988.69
41.0,2018,1306,951.88,1243152.92,178918.56
42.0,2018,5813,1887.9,10974390.58,446646.49
43.0,2018,1355,940.38,1274219.01,138798.14
44.0,2018,1136,1055.78,1199363.0,145717.36
45.0,2018,877,673.2,590396.16,137926.44
46.0,2018,575,1002.86,576645.41,818737.38
47.0,2018,1185,1471.14,1743298.87,155221.13
48.0,2018,569,966.15,549741.27,165551.97
49.0,2018,399,1046.86,417697.51,172492.18
50.0,2018,432,798.91,345128.79,218493.17
0.0,2019,2,150.0,300.0,275000.0
1.0,2019,1164,1250.23,1455268.72,144616.27
2.0,2019,1868,1374.94,2568385.85,334473.43
3.0,2019,886,1471.61,1303846.12,399846.65
4.0,2019,1072,1571.97,1685150.23,179023.52
5.0,2019,875,634.25,554966.12,125461.63
6.0,2019,920,432.59,397980.08,20269.98
7.0,2019,625,587.22,367010.75,50359.75
8.0,2019,880,507.06,446216.58,26876.89
