work_type,total_permits,avg_fee,avg_reported_cost
Electrical Work,190156,108.37,76334.07
Monthly Maintenance Permit,58301,95.02,1893.63
Administrative Change,17544,87.26,
Fire Alarm System,11841,348.93,38665.13
Small-Scale Solar PV System,4770,309.21,20747.78
Masonry Work,4487,451.14,89309.19
Nonstructural Interior Work,2404,490.76,56209.48
Reroofing,2312,720.87,112604.97
Fence or Trash Enclosure,2189,173.66,7764.63
Plumbing Work,1683,524.14,26178.7
Detached Frame Garage,1615,583.39,25451.98
Other Work,1095,294.52,113355.45
Mechanical Work,974,348.62,2168040.13
"Porch,Deck,Balcony,or Fire Escape",884,330.18,17725.5
Exterior Windows/Doors Replacement,745,524.42,77794.62
Scaffolding,662,298.64,
Communication Equipment,259,1145.56,41269.67
Storm Water Management Plan,104,1668.27,
Small Temporary Structure,26,344.23,
Construction Trailer,14,476.79,
