area_label,community_area,permit_count,total_fees,avg_fee,total_reported_cost
POINT (-87.626000280067 41.880044763707),32.0,67651,94305430.52,1394.0,27687114758.15
POINT (-87.63978355192 41.892200429104),8.0,59811,81145938.6,1356.71,32337254583.99
POINT (-87.65583876211 41.869540614911),28.0,36242,67958498.63,1875.13,17299199452.83
POINT (-87.675676985855 41.910623984743),24.0,31378,35921200.91,1144.79,6155595934.91
POINT (-87.650436302018 41.935541160786),6.0,28080,24985626.12,889.8,4354365764.39
POINT (-87.649698563749 41.912977385158),7.0,27153,22589587.74,831.94,4458945320.02
POINT (-87.716032976408 41.917180811072),22.0,20952,18552627.19,885.48,2156893691.0
POINT (-87.652999457086 41.971715122333),3.0,10178,14758059.14,1450.0,2547344162.95
POINT (-87.620637506514 41.858657316952),33.0,6573,13269652.62,2018.81,3188083308.24
POINT (-87.675241927059 41.953159682696),5.0,13068,12183290.41,932.3,1507997513.81
POINT (-87.764675403435 41.895659298376),25.0,21547,11561430.49,536.57,1180983186.44
POINT (-87.59284783727 41.799606537099),41.0,8280,9665499.07,1167.33,4497088354.29
POINT (-87.673460709002 41.859406533938),31.0,9225,9588973.04,1039.46,1478731398.02
POINT (-87.735313999126 41.954387880157),16.0,12814,8772985.3,684.64,1084557795.31
POINT (-87.660491962918 41.992505368507),77.0,11190,8723516.49,779.58,1279816280.29
POINT (-87.710114827602 41.939414722517),21.0,9240,8623781.86,933.31,854420895.28
POINT (-87.719648898975 41.889225427376),23.0,12478,8471344.06,678.9,1207015935.64
POINT (-87.692234920789 41.962233143098),4.0,10441,8246807.58,789.85,1143767283.31
POINT (-87.608596338225 41.821372011172),38.0,6897,8102825.36,1174.83,1036973245.4
POINT (-87.579946180816 41.758234243932),43.0,11189,7915756.09,707.46,1057254489.83
